link,full_name,description,year,mileage_km,engine_capacity,fuel_type,price_pln
https://www.otomoto.pl/oferta/bmw-seria-5-530d-automat-218hp-bez-dpfa-bardzo-zadbane-oplacona-ID6DQzxC.html#b0d84a056e,BMW Seria 5,"530d Automat 218Hp, Bez DPFa, Bardzo Zadbane! Opłacona",2003,295 000 km,2 993 cm3,Diesel,21 900
https://www.otomoto.pl/oferta/bmw-seria-5-salon-pl-m-pakiet-serwisowany-bezwypadkowy-pelna-historia-ID6DI7WE.html#b0d84a056e,BMW Seria 5,"Salon PL, M Pakiet, serwisowany, bezwypadkowy, pełna historia",2012,131 586 km,1 995 cm3,Diesel,80 900
https://www.otomoto.pl/oferta/bmw-seria-1-bmw-116d-f20-jeden-wlasciciel-8lat-do-dzis-ID6DPQk7.html#b0d84a056e,BMW Seria 1 116d,BMW 116d F20 !!!jeden wlasciciel 8lat do dzis!!!,2012,134 000 km,1 995 cm3,Diesel,38 900
https://www.otomoto.pl/oferta/bmw-seria-3-bmw-seria-3-f30-318-sport-line-salon-serwis-pl-bezwypadkowy-pakiet-prz-ID6D5P9z.html#b0d84a056e,BMW Seria 3 318i,BMW Seria 3 F30 318 Sport Line Salon/Serwis PL Bezwypadkowy/Pakiet Prz,2016,48 800 km,1 499 cm3,Benzyna,78 800
https://www.otomoto.pl/oferta/bmw-seria-5-535d-swietny-stan-swiezo-sprowadzona-oplacona-ID6DQzuS.html#b0d84a056e,BMW Seria 5 535d,535d Świetny Stan! Świeżo sprowadzona! Opłacona!,2005,298 000 km,2 993 cm3,Diesel,24 900
https://www.otomoto.pl/oferta/bmw-seria-3-bmw-f30-320-xd-automat-serwis-bmw-bezwypadkowe-ID6DPQGk.html#b0d84a056e,BMW Seria 3 320d,BMW F30 320 XD automat serwis BMW Bezwypadkowe,2017,202 514 km,1 995 cm3,Diesel,59 900
https://www.otomoto.pl/oferta/bmw-seria-3-184km-i-wlasciciel-salon-polska-gwarancja-bmw-repair-inclusiv-led-ID6DQzlK.html#b0d84a056e,BMW Seria 3 320i,184KM/ I właściciel/ Salon Polska/ gwarancja BMW repair inclusiv/ LED,2017,76 700 km,1 998 cm3,Benzyna,89 900
https://www.otomoto.pl/oferta/bmw-x6-m-bmw-x6-m-ID6DCix8.html#b0d84a056e,BMW X6 M,Bmw X6 M,2011,106 000 km,4 395 cm3,Benzyna,103 000
https://www.otomoto.pl/oferta/bmw-seria-1-sprowadzona-z-niemiec-ID6DI7nZ.html#b0d84a056e,BMW Seria 1 116i,Sprowadzona z Niemiec,2009,220 000 km,1 995 cm3,Benzyna,13 999
https://www.otomoto.pl/oferta/bmw-seria-3-sprzedam-bmw-e30-ID6DQzqP.html#b0d84a056e,BMW Seria 3,Sprzedam BMW E30,1989,320 000 km,2 494 cm3,Benzyna,35 000
https://www.otomoto.pl/oferta/bmw-seria-3-318i-xenon-idealna-z-niemiec-ID6DGYWc.html#b0d84a056e,BMW Seria 3 318i,318i xenon idealna z Niemiec,2006,192 000 km,1 995 cm3,Benzyna,15 999
https://www.otomoto.pl/oferta/bmw-seria-3-325i-218ps-m-pakiet-oryginal-cabrio-max-wyposazenie-z-de-ID6DQznl.html#b0d84a056e,BMW Seria 3 325i,325i 218PS M Pakiet Oryginał Cabrio Max Wyposażenie z De,2009,145 677 km,2 996 cm3,Benzyna,29 900
https://www.otomoto.pl/oferta/bmw-seria-5-530xd265kmmpakietxdrivepanoramashadowlinefullharman-kardon-ID6DL347.html#b0d84a056e,BMW Seria 5 530d,530xd*265KM*MPakiet*xDrive*Panorama*ShadowLine*Full*Harman&Kardon,2018,58 000 km,2 993 cm3,Diesel,189 900
https://www.otomoto.pl/oferta/bmw-x6-bmw-x6-polski-salon-perelka-polift-ID6DQyQt.html#b0d84a056e,BMW X6 35i,BMW X6 Polski Salon Perełka ! Polift !,2012,110 598 km,2 979 cm3,Benzyna,95 000
https://www.otomoto.pl/oferta/bmw-x3-2-0-d-184km-xdrive-2012-czarny-sufit-chromy-panorama-oryginal-serwis-ID6DQyI3.html#b0d84a056e,BMW X3 20d,2.0 d 184KM xDrive 2012 Czarny Sufit Chromy Panorama Oryginał Serwis,2012,192 000 km,1 995 cm3,Diesel,55 900
https://www.otomoto.pl/oferta/bmw-seria-5-czarny-matbezwypadkowy-automat-218km-prywatniestan-10-10-ID6DKI0A.html#b0d84a056e,BMW Seria 5 525d,Czarny MAT*BEZWYPADKOWY* Automat* 218KM* Prywatnie*Stan 10/10,2013,214 000 km,1 995 cm3,Diesel,59 999
https://www.otomoto.pl/oferta/bmw-x6-sprzedam-bmw-x6-ID6DQcAr.html#b0d84a056e,BMW X6 xDrive40d,Sprzedam BMW X6,2014,147 000 km,2 993 cm3,Diesel,119 925
https://www.otomoto.pl/oferta/bmw-seria-3-bmw-320-d-oryginalny-przebieg-serwisowany-1-wlasciciel-ID6DQ7Ig.html#b0d84a056e,BMW Seria 3 320d,"BMW 320 d Oryginalny przebieg,serwisowany, 1 właściciel",2007,206 600 km,1 995 cm3,Diesel,22 000
https://www.otomoto.pl/oferta/bmw-seria-5-e60-550i-4-8l-v8-bez-sciemy-ID6DQy3q.html#b0d84a056e,BMW Seria 5 550i,E60 550i 4.8L V8 bez sciemy,2007,107 784 km,4 799 cm3,Benzyna,39 000
https://www.otomoto.pl/oferta/bmw-seria-5-jasny-srodek-2-kpl-kol-grzane-fotele-bagaznik-dachowy-ID6DQy6Q.html#b0d84a056e,BMW Seria 5 525d,JASNY ŚRODEK 2 kpl kół. Grzane fotele BAGAŻNIK Dachowy,2005,311 324 km,2 497 cm3,Diesel,14 850
https://www.otomoto.pl/oferta/bmw-seria-7-750-d-xdrive-frozen-dark-brown-matt-ID6DkJ01.html#b0d84a056e,BMW Seria 7 750d,750 D XDrive Frozen Dark Brown Matt,2017,68 800 km,2 993 cm3,Diesel,285 000
https://www.otomoto.pl/oferta/bmw-seria-4-430-i-x-drive-m-pakiet-idealny-ID6Dvors.html#b0d84a056e,BMW Seria 4 430i,430 i x drive M Pakiet Idealny,2017,56 000 km,1 998 cm3,Benzyna,110 000
https://www.otomoto.pl/oferta/bmw-seria-5-bmw-e60-stan-bardzo-dobry-ID6DQoxa.html#b0d84a056e,BMW Seria 5 520d,BMW E60 Stan bardzo dobry,2008,347 200 km,1 995 cm3,Diesel,21 999
https://www.otomoto.pl/oferta/bmw-x1-bmw-x1-sdrive18i-2018-ID6DQw66.html#b0d84a056e,BMW X1 sDrive18i,BMW X1 sDrive18i 2018,2018,69 000 km,1 499 cm3,Benzyna,97 700
