title,description,town,type_of_work,salary
Content Marketing Specialist,,Zdalnie,Cognitum Services SA,7 000  – 9 000  PLN
Java Developer,,Zdalnie,Order Group,12 000  – 18 000  PLN
Power Platform Consultant,,Zdalnie,Hays Poland,29 400  PLN
DevOps Engineer,,Zdalnie,CloudFerro,16 000  – 24 000  PLN
Remote Senior PHP Developer,,Zdalnie,Alsendo Sp. z o. o.,13 500  – 20 000  PLN
Remote Senior Ruby on Rails Fullstack Developer,,Zdalnie,LetsBuild,19 016  – 24 323  PLN
Senior Digital Project Manager,,Zdalnie,Veritas Recruitment,8 000  – 12 000  PLN
Facebook Ads Specialist,,Zdalnie,DIGITALK,6 500  – 9 300  PLN
Remote SAP Analytics Cloud Consultant,,Zdalnie,Link Group,33 600  – 50 400  PLN
"Connectivity Engineer, HL7",,Zdalnie,Hays Poland,15 000  – 20 000  PLN
Senior Full-stack Developer,,Zdalnie,Randstad Polska sp. z o.o.,20 160  – 26 880  PLN
Data Architect,,Zdalnie,Avenga,33 600  – 38 640  PLN
Fullstack Wordpress Developer,,Zdalnie,White Label Coders,14 000  – 20 000  PLN
Senior .NET Developer,,Zdalnie,Neontri,20 160  – 23 520  PLN
Leveraged Finance Credit Analysis,,Zdalnie,Kelly Services Poland,20 000  PLN
Remote Mid Java Developer + WSO2/OSB,,Zdalnie,Link Group,20 000  – 25 000  PLN
Python Test Engineer – banking sector,,Zdalnie,Sii Polska,13 000  – 24 000  PLN
Senior Java Developer,,Zdalnie,Avenga,31 920  – 35 280  PLN
Senior .NET Developer with MS Azure,,Zdalnie,emagine Sp. Z o.o.,29 400  – 32 760  PLN
Remote Fullstack Java developer,,Zdalnie,Finture,18 000  – 25 000  PLN
